State,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
New York,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
North Carolina,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
North Dakota,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Ohio,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Oklahoma,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Oregon,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Pennsylvania,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Rhode Island,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue
South Carolina,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
South Dakota,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Tennessee,No-Issue,No-Issue,No-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Texas,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Utah,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Vermont,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Unrestricted
Virginia,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Washington,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
West Virginia,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue
Wisconson,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,No-Issue,Shall Issue
Wyoming,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,May-Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Shall Issue,Unrestricted
